DATA_YEAR,SUSPECTED_DRUG_TYPE_ID,PROPERTY_ID,EST_DRUG_QTY,DRUG_MEASURE_TYPE_ID,NIBRS_SUSPECTED_DRUG_ID
2019,2,123678208,32,1,13652794
2019,13,123687738,44,9,13643852
2019,4,123687738,4,9,13643851
2019,18,123683675,,,13652809
2019,1,123683675,13.9,1,13643853
2019,4,123683675,13.2,1,13643854
2019,1,123683751,2,1,13652822
2019,4,123678638,19,9,13639041
2019,12,123683812,1,9,13652828
2019,1,123684040,1,9,13639084
2019,4,123688728,130,9,13652872
2019,2,123688728,1.93,1,13652871
2019,8,123688796,1,1,13639116
2019,5,123688889,3,1,13639126
2019,5,123688892,0.5,3,13639127
2019,16,123679220,3,9,13643925
2019,17,123689577,70,9,13643934
2019,13,123689075,3,9,13639143
2019,5,123679383,,,13643942
2019,1,123689570,1,1,13643954
2019,4,123699771,1,11,13639186
2019,2,123690095,9,1,13652931
2019,13,123699922,70,9,13639196
2019,8,123699922,1,9,13639195
2019,8,123694904,9,9,13652949
2019,8,123694904,1,1,13639202
2019,2,123690476,31.7,1,13652962
2019,4,123690525,1,11,13639226
2019,8,123690525,1,11,13639227
2019,4,123700242,1.7,1,13652965
2019,16,123695160,7,9,13643989
2019,5,123695160,21,1,13652968
2019,4,123700429,1.005,1,13639232
2019,8,123700534,4,9,13644007
2019,4,123690847,1,1,13652988
2019,8,123690881,8,9,13644022
2019,2,123690881,27.14,1,13644021
2019,8,123695541,0.5,1,13644024
2019,4,123690902,1,1,13639260
2019,2,123690902,2,1,13639259
2019,2,123691082,1,11,13653011
2019,1,123691088,1,1,13653012
2019,4,123700936,1,1,13639289
2019,4,123700950,0.4,1,13644044
2019,8,123700950,8,9,13639291
2019,4,123695795,113,1,13639295
2019,8,123695795,36.005,1,13644051
2019,4,123691195,3,1,13653019
2019,1,123691268,1,11,13644064
2019,5,123696065,14,10,13644067
2019,12,123701694,13.005,9,13644099
2019,16,122481833,0.006,3,13279947
2019,1,122481957,0.2,1,13269939
2019,8,122481999,,,13285614
2019,1,122482009,5,9,13285615
2019,1,122485021,1,9,13269950
2019,4,122465115,1,11,13285019
2019,5,122465501,1,1,13279473
2019,12,122461715,7,9,13269375
2019,17,122461715,2,9,13279507
2019,8,122461715,9,9,13269374
2019,16,122466102,1,1,13285102
2019,4,122466135,1,1,13285104
2019,1,122461840,1,11,13279523
2019,8,122461878,2,9,13285118
2019,4,122469853,0,1,13279560
2019,4,122470323,7,1,13279602
2019,2,122470430,29,1,13285226
2019,8,122470430,32,9,13285227
2019,18,122470430,,,13279624
2019,2,122470997,0.6,1,13279673
2019,5,122467613,1,1,13285263
2019,8,122467691,7,9,13279680
2019,16,122463344,1,1,13269520
2019,17,122472600,2,9,13285349
2019,4,122472600,0.01,1,13285348
2019,4,122473495,1,1,13279809
2019,8,122475997,2.5,1,13269689
2019,5,122480146,2,1,13285409
2019,5,122476079,1,1,13269695
2019,16,122476172,1,9,13269704
2019,16,122476240,76,9,13285435
2019,8,122476271,11,9,13269719
2019,8,122476427,1,9,13285451
2019,12,122480926,0.5,1,13269754
2019,8,122480944,4,9,13285471
2019,2,122480944,1,9,13285469
2019,5,122480997,17,1,13269761
2019,8,122477031,1,9,13269778
2019,4,122478312,1,5,13285628
2019,17,122482201,,,13285637
2019,8,122485148,3.2,1,13279990
2019,16,122482371,,,13270003
2019,7,122482371,,,13270002
2019,1,122478643,1,9,13280000
2019,1,122485392,1,11,13285674
2019,8,122485459,2,9,13270053
2019,12,122485459,1,9,13280017
2019,5,122485459,3,9,13270052
2019,8,122465074,1,1,13279447
2019,1,122465074,1,1,13269324
2019,1,122461242,7.65,1,13279466
2019,16,122461242,7,9,13269348
2019,8,122461271,1,9,13285055
2019,8,122469765,2,1,13269412
2019,8,122469765,1,9,13269411
2019,1,122470336,1,9,13279606
